BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abm_milk_choice_upload.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/2024 16:11:43:703 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],habit-threshold,memory-lifetime,p-interact,incumbent-initial-habit,social-blindness,cognitive-dissonance-threshold,network-parameter,social-conformity,social-susceptibility,justification,oat-health-mean-initial,oat-env-mean-initial,soy-health-mean-initial,soy-env-mean-initial,almond-health-mean-initial,almond-env-mean-initial,[step],count turtles with [color = red],count turtles with [color = green],count turtles with [color = white],count turtles with [color = yellow],mean-health-impact,mean-env-impact,total-milk,initial,mean-incum,mean-oat,mean-almond,mean-soy
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,15,381,222,140,257,19.8066556216567,2.90691790373739,36079893.5200031,2300000,504.819317662386,512.335553931747,507.043088840872,510.923359564995
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,10,458,233,94,215,21.6099926214218,3.17297057909621,25534060.9900005,2300000,556.546206868345,548.749570778584,546.255994092188,554.690018260885
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,5,831,55,48,66,37.6716816589836,5.61780558629017,14031485.4600002,2300000,1563.67247258338,266.59604026455,266.64836069497,271.068376457103
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,19,223,318,126,333,19.133666454003,2.80864981521318,43963725.9000014,2300000,494.282748733102,491.339956304633,482.811650833142,481.107184129123
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,16,372,253,114,261,19.5132388995361,2.85935169237729,38081027.4400038,2300000,496.458167053536,509.018553687367,494.115312263889,501.54188699521
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,11,435,243,100,222,21.7020825263576,3.18926492230081,27752115.8600015,2300000,559.525124563833,549.592070698454,552.253589095822,556.68408564189
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,17,345,245,134,276,18.9342431451925,2.77949025096335,40028814.9400022,2300000,482.062495257643,490.186183495521,486.436496664625,489.102324582211
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,20,193,332,132,343,18.8546538828323,2.76699859972293,45886806.709998,2300000,485.715259541915,482.092236954355,475.197601166703,480.075712337026
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,6,797,74,42,87,35.7370834371746,5.32155296540151,16389138.2100001,2300000,1438.22355994154,308.750508241747,304.256478615282,306.422203201434
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,18,342,261,119,278,18.4864361945609,2.7108693568445,41922532.1800025,2300000,472.196858683457,479.71905138034,468.797134243479,473.004195692724
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,12,404,202,113,281,20.6242843820788,3.03097952758885,29868975.1400001,2300000,528.488697181626,526.044357033171,529.569611187932,532.756614597272
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,21,155,357,126,362,19.0475609309615,2.7928156347471,47820625.1100006,2300000,492.643981591118,485.579300972558,473.276761527935,482.318355908388
