BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
abm_milk_choice_upload.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experimentCamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2024 13:28:51:278 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],habit-threshold,p-interact,incumbent-initial-habit,social-blindness,cognitive-dissonance-threshold,network-parameter,social-conformity,social-susceptibility,justification,memory-lifetime,oat-health-mean-initial,oat-env-mean-initial,soy-health-mean-initial,soy-env-mean-initial,almond-health-mean-initial,almond-env-mean-initial,[step],count turtles with [color = red],count turtles with [color = green],count turtles with [color = white],count turtles with [color = yellow],mean-health-impact,mean-env-impact,total-milk,mean-incum,mean-oat,mean-almond,mean-soy
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,24,68,100,586,246,18.0346607199613,526.956035983575,53398840.200001,476.468287948589,459.644611693943,500.387170723472,423.954749633996
10,8,0.6,8,0,0.4,8,-1,1,0.9,5,1,1,1,1,1,1,6,803,75,41,81,35.1859743630875,1040.50586110898,16405484.8100001,1399.15630098804,323.775132882305,319.389937519887,321.290738609764
9,8,0.6,8,0,0.4,8,-1,0.8,0.9,5,1,1,1,1,1,1,7,743,104,58,95,31.0325999619381,904.417688444984,18778072.7399996,1127.5318228554,407.352163389233,402.665939795866,410.699533959506
2,8,0.6,8,0,0,8,-1,1,0.9,5,1,1,1,1,1,1,7,711,112,64,113,31.133138070963,909.017288200441,18759422.2099996,1137.20360584334,401.717306838774,399.626587405572,404.597499912317
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,25,75,170,99,656,18.6459116140672,466.781573999445,55222801.3700005,464.534510718203,460.820412228678,349.363828214014,549.242418839105
8,8,0.6,8,0,0,10,-0.6,1,0.9,5,1,1,1,1,1,1,5,842,84,18,56,37.5420288257364,1117.80653551182,14038169.3400002,1554.97736864832,273.898345295492,269.888484569609,269.066311486577
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,26,68,106,596,230,17.1520915440612,501.215115026279,56998899.31,450.637246452154,442.396615718486,479.624685076466,403.439392752894
3,8,0.6,8,0,0,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,7,732,99,59,110,31.0938643597228,905.753571836611,18757845.8999996,1132.91020177495,404.720700546194,397.588011985365,407.834475693488
6,8,0.6,8,0,0,10,-1,1,0.9,5,1,1,1,1,1,1,3,922,24,23,31,41.3876339541781,1244.11548242445,9293691.84999993,1818.9106387102,176.265267531427,175.552173798001,178.571369960376
7,8,0.6,8,0,0,10,-0.6,0.8,0.9,5,1,1,1,1,1,1,3,895,32,38,35,40.8067471024027,1225.5612696059,9310828.44999992,1776.39264124357,194.515842493207,195.109925179589,194.593641083631
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,27,68,188,70,674,18.5832946487362,459.051616264757,58809702.5299969,460.165048717578,463.738996172842,335.573677252163,551.325497857414
5,8,0.6,8,0,0,10,-1,0.8,0.9,5,1,1,1,1,1,1,4,834,59,42,65,38.8969256906318,1161.80855127673,11682889.0600001,1644.87525548203,243.345481705774,239.841170334347,240.574352477846
12,8,0.6,8,0,0.4,8,-0.6,1,0.9,5,1,1,1,1,1,1,5,859,50,38,53,37.1783987054509,1104.75558864094,14038755.3500002,1526.5651324612,283.475952405478,281.063995564294,286.022919569028
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,28,66,85,569,280,16.6727623903375,480.448445151502,60525595.9399984,436.431634121097,425.856864291001,450.550428218246,403.054483369656
11,8,0.6,8,0,0.4,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,7,738,107,48,107,30.4708764874094,887.335084332798,18810459.7599996,1089.77913160437,423.934269715261,418.825281880347,418.910126800023
10,8,0.6,8,0,0.4,8,-1,1,0.9,5,1,1,1,1,1,1,7,752,89,52,107,31.1489602568201,909.017555392057,18753693.8499996,1135.88574779388,405.829966520275,401.293821574352,405.199504111491
8,8,0.6,8,0,0,10,-0.6,1,0.9,5,1,1,1,1,1,1,6,776,92,48,84,35.2787414512683,1046.52297791428,16395585.91,1410.38163400592,311.766673868628,318.188432096732,317.079830028723
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,29,75,231,82,612,16.8725019803544,420.219670990142,62173217.0299957,419.268826154586,422.665989886036,311.661067077323,494.025206882056
9,8,0.6,8,0,0.4,8,-1,0.8,0.9,5,1,1,1,1,1,1,8,341,57,553,49,23.939992281273,712.381125027747,21082437.6399995,704.567827618462,503.551114789315,593.979970365178,502.265987227043
3,8,0.6,8,0,0,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,8,310,49,604,37,24.1812532116383,722.785514405347,21054705.9199995,725.564189501778,491.879682687545,588.263013510325,491.153134300353
7,8,0.6,8,0,0,10,-0.6,0.8,0.9,5,1,1,1,1,1,1,4,863,49,41,47,39.3591016726299,1176.6675016064,11672701.7600001,1678.01806195284,228.959216632219,225.582689912769,229.313341502167
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,30,69,95,588,248,16.0664559626942,469.596615702876,63835640.7699971,422.911282853672,409.224108386096,448.572106112807,381.716242647425
6,8,0.6,8,0,0,10,-1,1,0.9,5,1,1,1,1,1,1,4,879,58,26,37,39.9376541285111,1196.01616075973,11646443.18,1720.20356467486,213.174604363408,208.596779517944,210.776381443785
2,8,0.6,8,0,0,8,-1,1,0.9,5,1,1,1,1,1,1,8,321,41,602,36,24.3087750128893,728.598206142908,21056218.6799995,735.543321891227,486.63038800503,587.755759957381,486.867000146363
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,31,68,220,98,614,16.5629217815792,412.166437657726,65457211.7499975,409.805811109384,416.404054422491,307.646522466468,487.714592001657
12,8,0.6,8,0,0.4,8,-0.6,1,0.9,5,1,1,1,1,1,1,6,785,94,36,85,34.707960806056,1023.86784261941,16407345.8700001,1364.65081437777,336.691434298444,331.13076787904,336.117503444745
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,32,67,82,578,273,15.7451096372657,456.623322007256,67084046.7399976,412.429717637901,400.036625221493,433.027605321208,381.341041819398
8,8,0.6,8,0,0,10,-0.6,1,0.9,5,1,1,1,1,1,1,7,718,121,45,116,31.092483211165,908.263639581447,18737675.7599996,1135.30211372026,402.746891040566,400.844279748398,403.196565490772
