BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
abm_milk_choice_upload.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experimentCampGrid3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2024 14:46:23:017 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],habit-threshold,memory-lifetime,p-interact,incumbent-initial-habit,social-blindness,cognitive-dissonance-threshold,network-parameter,social-conformity,social-susceptibility,justification,oat-health-mean-initial,oat-env-mean-initial,soy-health-mean-initial,soy-env-mean-initial,almond-health-mean-initial,almond-env-mean-initial,[step],count turtles with [color = red],count turtles with [color = green],count turtles with [color = white],count turtles with [color = yellow],mean-health-impact,mean-env-impact,total-milk,mean-incum,mean-oat,mean-almond,mean-soy
6,8,5,0,8,0,0,2,-1,1,0.9,1,1,1,1,1,1,2,941,12,24,23,42.3354376664185,1276.31124581611,6944392.39999999,1889.09320714076,147.320356347232,147.578283251266,148.877353260743
9,8,5,0,8,0,0.4,0,-1,0.6,0.9,1,1,1,1,1,1,6,802,65,55,78,37.5939493909594,1121.04308554478,16286015.13,1569.45870207954,256.694722308396,256.825962626133,258.52977298593
12,8,5,0,8,0,0.4,0,-0.6,1,0.9,1,1,1,1,1,1,5,845,66,40,49,39.2782944921522,1175.38827163739,13949032.5500001,1678.44394926257,224.643659560241,222.467615403074,223.338875774116
11,8,5,0,8,0,0.4,0,-0.6,0.6,0.9,1,1,1,1,1,1,4,924,33,12,31,41.6956840112584,1254.51450753325,11590893.91,1846.85354555229,161.557257158155,158.692716868525,162.381440421033
3,8,5,0,8,0,0,0,-0.6,0.6,0.9,1,1,1,1,1,1,5,877,51,35,37,39.9153816943501,1196.81572939804,13929719.2600001,1723.91744999559,207.321287668476,205.584486180154,205.20489615578
4,8,5,0,8,0,0,0,-0.6,1,0.9,1,1,1,1,1,1,5,856,51,44,49,39.3094250660924,1176.56846993067,13954226.6800002,1680.72222965443,223.9295794235,221.911688405529,222.122542516543
2,8,5,0,8,0,0,0,-1,1,0.9,1,1,1,1,1,1,6,825,70,50,55,37.9776916657649,1133.41067433519,16270748.42,1595.60096803539,249.734242933154,246.942817375465,246.94004165599
5,8,5,0,8,0,0,2,-1,0.6,0.9,1,1,1,1,1,1,3,882,42,32,44,40.866443657853,1226.62628565787,9312878.79999992,1779.78852537557,193.334447722403,192.272802821694,194.825224080338
7,8,5,0,8,0,0,2,-0.6,0.6,0.9,1,1,1,1,1,1,2,937,23,21,19,42.3805223504995,1277.73434298776,6944956.59999999,1892.44741692654,146.860266378526,145.888219417767,146.436997277163
8,8,5,0,8,0,0,2,-0.6,1,0.9,1,1,1,1,1,1,3,873,45,39,43,40.68427704823,1220.90485675475,9317291.09999992,1766.58352056408,200.211566608203,198.420840815911,198.212272011801
11,8,5,0,8,0,0.4,0,-0.6,0.6,0.9,1,1,1,1,1,1,5,862,44,42,52,39.5018636882297,1184.55365569091,13936875.1700001,1696.07525983741,215.241547976326,218.600902518988,216.063549667281
9,8,5,0,8,0,0.4,0,-1,0.6,0.9,1,1,1,1,1,1,7,763,88,71,78,33.838223690238,997.908788647274,18617580.8299996,1322.08346515369,338.779601590975,334.309508335808,336.393124919529
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,9,113,38,10,839,23.7174261437423,590.866054495551,23160267.3899999,607.13598550197,556.180205541651,413.154553332141,693.599255624239
12,8,5,0,8,0,0.4,0,-0.6,1,0.9,1,1,1,1,1,1,6,820,63,46,71,37.3608442687531,1113.51059472752,16292428.49,1553.41890911786,260.501159868819,263.038604235401,266.437266777925
4,8,5,0,8,0,0,0,-0.6,1,0.9,1,1,1,1,1,1,6,801,82,52,65,37.4265605762301,1114.83396444641,16296948.77,1557.14646593293,263.045368205993,260.166509871984,262.363745989091
7,8,5,0,8,0,0,2,-0.6,0.6,0.9,1,1,1,1,1,1,3,910,30,27,33,41.1896396194449,1237.89032560058,9298277.54999993,1804.42588498101,182.772388686953,182.462410570762,183.660265761274
6,8,5,0,8,0,0,2,-1,1,0.9,1,1,1,1,1,1,3,885,43,26,46,41.0094675806378,1231.06205127179,9300920.29999993,1790.37112680358,190.395022458701,186.85361289538,188.908137842337
3,8,5,0,8,0,0,0,-0.6,0.6,0.9,1,1,1,1,1,1,6,826,62,42,70,37.7636910175461,1125.78185622981,16270150.26,1580.52926653037,252.332800272582,251.281463945897,256.287469251154
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,10,126,36,785,53,21.264112879981,674.815379382218,25358317.3900007,602.85705316919,547.128473335156,672.079612079082,375.984861416572
2,8,5,0,8,0,0,0,-1,1,0.9,1,1,1,1,1,1,7,766,82,52,100,33.8697872717036,998.108088792516,18602119.2699996,1323.69097869681,336.223362972214,332.197944903853,339.258563427122
4,8,5,0,8,0,0,0,-0.6,1,0.9,1,1,1,1,1,1,7,762,94,67,77,33.2665911994384,979.733912961015,18630268.1199996,1283.89847998201,349.186650134271,348.547212923114,351.687006960603
11,8,5,0,8,0,0.4,0,-0.6,0.6,0.9,1,1,1,1,1,1,6,815,83,40,62,37.4681684105019,1115.6184222109,16279462.49,1559.45172887823,263.099987513346,258.357516061201,261.67808754722
8,8,5,0,8,0,0,2,-0.6,1,0.9,1,1,1,1,1,1,4,802,82,53,63,38.8832785039562,1161.32123366396,11685756.6400001,1644.06201045863,242.3473840622,239.942762295473,242.113383183694
5,8,5,0,8,0,0,2,-1,0.6,0.9,1,1,1,1,1,1,4,823,65,46,66,39.0567651054656,1168.21854086125,11678827.7000001,1657.62291403519,235.683718242772,236.51538503352,236.126882688522
9,8,5,0,8,0,0.4,0,-1,0.6,0.9,1,1,1,1,1,1,8,299,43,612,46,25.5300000124564,766.996854483286,20906659.3299996,818.548045101289,456.673757381725,554.346618748851,459.510078768136
7,8,5,0,8,0,0,2,-0.6,0.6,0.9,1,1,1,1,1,1,4,846,47,48,59,39.8035506252035,1192.44258076485,11653925.8400001,1710.95901047879,215.610795006454,214.244803718188,214.833680796572
12,8,5,0,8,0,0.4,0,-0.6,1,0.9,1,1,1,1,1,1,7,735,104,63,98,33.3039533245593,980.247482092498,18625358.1399996,1285.85098081265,350.231628319124,346.539750617723,350.307290250502
3,8,5,0,8,0,0,0,-0.6,0.6,0.9,1,1,1,1,1,1,7,759,97,54,90,34.0071343594409,1003.82621653354,18600871.6099996,1333.99420307257,334.281704900639,330.691826486137,331.75361554065
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,11,132,34,4,830,23.5722297953417,572.45869158327,27576187.3900017,604.427326603391,554.263456596242,368.935558156946,690.24365864342
8,8,5,0,8,0,0,2,-0.6,1,0.9,1,1,1,1,1,1,5,734,99,70,97,35.534805820635,1051.77232419185,14076535.9600003,1412.76496044823,322.720097398496,325.727617512903,329.566644640375
2,8,5,0,8,0,0,0,-1,1,0.9,1,1,1,1,1,1,8,281,40,639,40,25.4777710569464,767.450643437744,20891184.2699996,816.760527848763,458.544461803228,558.740038127233,455.019972220776
7,8,5,0,8,0,0,2,-0.6,0.6,0.9,1,1,1,1,1,1,5,779,80,56,85,36.8526727299221,1094.05444405077,14030993.1200002,1504.65179589804,293.66119915785,288.285722272884,290.468562671227
5,8,5,0,8,0,0,2,-1,0.6,0.9,1,1,1,1,1,1,5,750,85,72,93,36.5545220730453,1085.20742792049,14058278.0700003,1484.79750465115,298.164927662098,297.373339297371,299.114598389383
6,8,5,0,8,0,0,2,-1,1,0.9,1,1,1,1,1,1,4,836,48,49,67,39.3344236805664,1178.2302025647,11662982.6700001,1678.39445733327,226.124663676207,229.618269777495,227.924979213025
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,12,122,34,796,48,20.3310338751255,643.337232036383,29685087.3900002,572.002391712262,531.007150692194,643.886338260871,362.004119334673
