"BehaviorSpace results (NetLogo 6.3.0)"
"C:\Users\zheng\Downloads\an-abm-of-historic-british-milk-consumption_v1.0.0\code\abm_milk_choice_upload.nlogo"
"my_exp"
"11/16/2024 18:12:43:330 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","network-parameter","memory-lifetime","social-conformity","social-blindness","habit-threshold","cognitive-dissonance-threshold","social-susceptibility","justification","[step]","count turtles with [color = red]","count turtles with [color = green]","count turtles with [color = white]","count turtles with [color = yellow]"
"175","6","3","4","0.35","2","0.43","0.5","0.23","32","718","1","275","6"
"176","6","3","4","0.35","2","0.43","0.5","0.32","32","754","0","240","6"
"177","6","3","4","0.35","2","0.43","0.5","0.32","32","733","1","265","1"
"178","6","3","4","0.35","2","0.43","0.5","0.32","32","685","0","309","6"
"179","6","3","4","0.35","2","0.43","0.5","0.32","32","726","1","264","9"
"180","6","3","4","0.35","2","0.43","0.5","0.32","32","750","0","247","3"
"181","6","3","4","0.35","2","0.55","0.8","0.23","32","720","0","278","2"
"183","6","3","4","0.35","2","0.55","0.8","0.23","32","736","1","254","9"
"182","6","3","4","0.35","2","0.55","0.8","0.23","32","705","1","285","9"
"184","6","3","4","0.35","2","0.55","0.8","0.23","32","757","0","241","2"
"185","6","3","4","0.35","2","0.55","0.8","0.23","32","696","1","297","6"
"186","6","3","4","0.35","2","0.55","0.8","0.32","32","719","3","271","7"
"187","6","3","4","0.35","2","0.55","0.8","0.32","32","691","4","290","15"
"188","6","3","4","0.35","2","0.55","0.8","0.32","32","725","1","266","8"
"189","6","3","4","0.35","2","0.55","0.8","0.32","32","752","3","234","11"
"190","6","3","4","0.35","2","0.55","0.8","0.32","32","738","0","255","7"
"191","6","3","4","0.35","2","0.55","0.5","0.23","32","711","4","270","15"
"192","6","3","4","0.35","2","0.55","0.5","0.23","32","741","0","258","1"
"193","6","3","4","0.35","2","0.55","0.5","0.23","32","802","1","193","4"
"195","6","3","4","0.35","2","0.55","0.5","0.23","32","744","7","239","10"
"194","6","3","4","0.35","2","0.55","0.5","0.23","32","697","1","291","11"
"196","6","3","4","0.35","2","0.55","0.5","0.32","32","686","3","301","10"
"197","6","3","4","0.35","2","0.55","0.5","0.32","32","719","1","274","6"
"198","6","3","4","0.35","2","0.55","0.5","0.32","32","657","3","324","16"
"199","6","3","4","0.35","2","0.55","0.5","0.32","32","739","1","253","7"
"200","6","3","4","0.35","2","0.55","0.5","0.32","32","801","0","196","3"
"201","6","3","4","0.35","3","0.43","0.8","0.23","32","734","0","254","12"
"202","6","3","4","0.35","3","0.43","0.8","0.23","32","744","0","252","4"
"203","6","3","4","0.35","3","0.43","0.8","0.23","32","747","0","245","8"
"204","6","3","4","0.35","3","0.43","0.8","0.23","32","723","4","259","14"
"205","6","3","4","0.35","3","0.43","0.8","0.23","32","663","2","327","8"
"206","6","3","4","0.35","3","0.43","0.8","0.32","32","877","0","119","4"
"207","6","3","4","0.35","3","0.43","0.8","0.32","32","860","0","140","0"
"208","6","3","4","0.35","3","0.43","0.8","0.32","32","885","0","113","2"
"209","6","3","4","0.35","3","0.43","0.8","0.32","32","740","0","254","6"
"210","6","3","4","0.35","3","0.43","0.8","0.32","32","706","2","284","8"
"213","6","3","4","0.35","3","0.43","0.5","0.23","32","779","1","213","7"
"211","6","3","4","0.35","3","0.43","0.5","0.23","32","721","3","270","6"
"212","6","3","4","0.35","3","0.43","0.5","0.23","32","752","0","242","6"
"214","6","3","4","0.35","3","0.43","0.5","0.23","32","748","1","247","4"
"215","6","3","4","0.35","3","0.43","0.5","0.23","32","744","0","251","5"
"217","6","3","4","0.35","3","0.43","0.5","0.32","32","722","1","272","5"
"216","6","3","4","0.35","3","0.43","0.5","0.32","32","758","0","237","5"
"218","6","3","4","0.35","3","0.43","0.5","0.32","32","702","4","277","17"
"219","6","3","4","0.35","3","0.43","0.5","0.32","32","709","1","283","7"
"220","6","3","4","0.35","3","0.43","0.5","0.32","32","729","1","263","7"
"221","6","3","4","0.35","3","0.55","0.8","0.23","32","738","2","253","7"
"222","6","3","4","0.35","3","0.55","0.8","0.23","32","719","0","276","5"
"223","6","3","4","0.35","3","0.55","0.8","0.23","32","829","0","168","3"
"224","6","3","4","0.35","3","0.55","0.8","0.23","32","734","0","259","7"
"225","6","3","4","0.35","3","0.55","0.8","0.23","32","759","1","229","11"
"226","6","3","4","0.35","3","0.55","0.8","0.32","32","765","2","221","12"
"228","6","3","4","0.35","3","0.55","0.8","0.32","32","693","0","299","8"
"227","6","3","4","0.35","3","0.55","0.8","0.32","32","787","0","209","4"
"229","6","3","4","0.35","3","0.55","0.8","0.32","32","784","0","213","3"
"230","6","3","4","0.35","3","0.55","0.8","0.32","32","681","1","305","13"
"231","6","3","4","0.35","3","0.55","0.5","0.23","32","726","1","270","3"
"232","6","3","4","0.35","3","0.55","0.5","0.23","32","673","7","307","13"
"233","6","3","4","0.35","3","0.55","0.5","0.23","32","754","2","235","9"
"234","6","3","4","0.35","3","0.55","0.5","0.23","32","707","0","286","7"
"235","6","3","4","0.35","3","0.55","0.5","0.23","32","791","0","207","2"
"236","6","3","4","0.35","3","0.55","0.5","0.32","32","718","2","275","5"
"237","6","3","4","0.35","3","0.55","0.5","0.32","32","748","3","239","10"
"238","6","3","4","0.35","3","0.55","0.5","0.32","32","762","0","236","2"
"240","6","3","4","0.35","3","0.55","0.5","0.32","32","710","6","272","12"
"239","6","3","4","0.35","3","0.55","0.5","0.32","32","718","10","256","16"
"241","6","3","4","0.4","2","0.43","0.8","0.23","32","809","0","188","3"
"242","6","3","4","0.4","2","0.43","0.8","0.23","32","750","3","238","9"
